"","logFC","logCPM","PValue","FDR"
"Dexi",0.848017248407322,4.73060047335939,0.0058450209395073,0.279740037863956
"Uba3",-0.763622613659814,5.73564690912192,0.00587410029123863,0.279740037863956
"Gadd45a",0.73047247624159,4.13566750457919,0.00587736377698094,0.279740037863956
"Aspscr1",0.756292931986157,5.94620533482308,0.00588782678450954,0.279740037863956
"Acvr1c",-2.50062534976426,-1.07828778974095,0.00589531903690832,0.279740037863956
"Mvb12a",0.938235257262806,5.7864624780846,0.00590911438436062,0.279740037863956
"Ccdc50",-0.85224149632673,6.60226452821782,0.00595352666111721,0.279740037863956
"Mmp25",-2.4167311870138,2.08615139614203,0.00599336089946723,0.279740037863956
"Pou2f1",-0.789694849635462,4.79871694913762,0.00600737997120636,0.279740037863956
"Thap1",0.776718779164528,3.50057728569724,0.00601217623616504,0.279740037863956
"Chkb",1.91678414811706,1.65274559961782,0.00602652008408327,0.279740037863956
"Gdap10",-2.75981763345569,1.51826232151418,0.00605950135941917,0.279740037863956
"Cdk5rap2",-1.09943133424601,3.54541345104552,0.00606868020948574,0.279740037863956
"B3gat3",0.886521733861022,6.03093104535303,0.00608270164946313,0.279740037863956
"Cnpy4",0.61924495811237,4.78365857930761,0.00609324543226351,0.279740037863956
"Tenm4",-2.57354069148889,0.314778588221618,0.00609883319689996,0.279740037863956
"Kctd20",-1.11066541007468,5.10742107538115,0.00610121482971964,0.279740037863956
"Tiparp",-0.865852619106637,6.01968815107686,0.00614460467728627,0.279740037863956
"Vpreb1",1.86370496343678,-1.16198681223524,0.00616254669804283,0.279740037863956
"5830418K08Rik",-0.79370386604655,4.38012306650835,0.00619248225077169,0.279740037863956
"Myl1",-4.44766200557864,-0.835696910942519,0.00620438139614507,0.279740037863956
